sector,taxon,post_minus_pre
Eastern,Aepyceros melampus,0.07932776231867156
Eastern,Alcelaphus buselaphus,0.011732561339401825
Eastern,Diceros bicornis,0.006653975380476994
Eastern,Equus burchellii,-0.13307637382748083
Eastern,Eudorcas thomsonii,0.07148143597967418
Eastern,Giraffa camelopardalis,-0.05184114741889759
Eastern,Kobus ellipsiprymnus,-0.0253140806511213
Eastern,Loxodonta africana,-0.009301675973202656
Eastern,Nanger granti,-0.018342796558427424
Eastern,Oryx beisa,-0.0006893258230918414
Eastern,Phacochoerus africanus,0.028000528599983927
Eastern,Redunca redunca,0.00019166529762882647
Eastern,Syncerus caffer,0.03713165246824379
Eastern,Taurotragus oryx,0.0044733942168760955
Eastern,Tragelaphus scriptus,-0.00042757534873550036
Western,Aepyceros melampus,0.13153550456576468
Western,Alcelaphus buselaphus,-0.017843263556835826
Western,Diceros bicornis,0.003828743687419427
Western,Equus burchellii,-0.2693891268643543
Western,Eudorcas thomsonii,0.019266816591595876
Western,Giraffa camelopardalis,0.011872987428164155
Western,Kobus ellipsiprymnus,0.004318925839062025
Western,Loxodonta africana,0.005687140014817335
Western,Nanger granti,-0.04050987512015295
Western,Oryx beisa,5.815813196080142e-05
Western,Phacochoerus africanus,0.020076076922716332
Western,Redunca redunca,-9.112359258461556e-05
Western,Syncerus caffer,0.13755631261975965
Western,Taurotragus oryx,-0.00639635573331301
Western,Tragelaphus scriptus,2.907906598040071e-05
