Species,live_relative,bone_relative,absolute_difference,percent_of_bray_curtis,direction
Aepyceros melampus,0.220098334980808,0.059961315280464215,0.16013701970034377,22.345596800441182,higher in living
Equus burchellii,0.3207633156604234,0.47775628626692457,0.1569929706065012,21.906874676704494,higher in bones
Syncerus caffer,0.17501315840147888,0.07736943907156674,0.09764371932991214,13.625251589698328,higher in living
Phacochoerus africanus,0.02702928225733982,0.10251450676982592,0.0754852245124861,10.533244558336019,higher in bones
Giraffa camelopardalis,0.02169531560907352,0.07543520309477757,0.053739887485704046,7.4988897639265835,higher in bones
Eudorcas thomsonii,0.09312297007586942,0.04642166344294004,0.04670130663292938,6.516722804170991,higher in living
Kobus ellipsiprymnus,0.012798952462867634,0.048355899419729204,0.03555694695686157,4.9616334913656255,higher in bones
Nanger granti,0.06057999666225914,0.029013539651837523,0.031566457010421614,4.4047986036786915,higher in living
Loxodonta africana,0.030784240728141007,0.01160541586073501,0.019178824867406,2.676222452467743,higher in living
Taurotragus oryx,0.02190713377922128,0.03481624758220503,0.012909113802983749,1.8013439530239086,higher in bones
Alcelaphus buselaphus,0.010308484280524282,0.02321083172147002,0.012902347440945738,1.8003997716085798,higher in bones
Oryx beisa,0.0007188980320166373,0.007736943907156673,0.007018045875140036,0.9793014990932916,higher in bones
Diceros bicornis,0.005025867491687742,0.0019342359767891683,0.0030916315148985735,0.431407749543077,higher in living
Redunca redunca,5.776859185847979e-05,0.0019342359767891683,0.0018764673849306886,0.26184316200777535,higher in bones
Tragelaphus scriptus,9.628098643079964e-05,0.0019342359767891683,0.0018379549903583686,0.2564691239337377,higher in bones
