sector,year,total_count,richness_N0,hill_N1,hill_N2,hill_evenness_N1_over_N0,interpret
Eastern,1978,57.0,13,7.713148537973532,5.181818181818183,0.5933191183056563,True
Eastern,1982,18.0,5,3.803825923691115,3.2399999999999998,0.760765184738223,True
Eastern,1986,2.0,2,2.0,2.0,1.0,False
Eastern,1991,6.0,3,2.7494592739972052,2.5714285714285716,0.916486424665735,False
Eastern,1993,86.0,15,9.63772010833847,7.501014198782961,0.6425146738892313,True
Eastern,1994,75.0,13,8.867731993527066,6.609870740305526,0.6821332302713128,True
Eastern,1998,32.0,11,7.941523150125148,6.095238095238095,0.7219566500113771,True
Eastern,2002,28.0,8,5.140786344743593,3.663551401869159,0.6425982930929491,True
Eastern,2003,18.0,7,5.047278018239302,4.05,0.7210397168913288,True
Eastern,2006,18.0,9,6.703165395817048,4.909090909090908,0.7447961550907831,True
Eastern,2008,18.0,7,6.038197272771185,5.400000000000002,0.8625996103958835,True
Eastern,2010,11.0,6,5.164120008639386,4.481481481481481,0.8606866681065642,True
Eastern,2013,39.0,12,6.723147456797032,4.708978328173374,0.5602622880664193,True
Eastern,2014,53.0,12,6.751681598307252,4.288549618320611,0.562640133192271,True
Western,1983,34.0,10,5.6446260003297475,4.013888888888888,0.5644626000329748,True
Western,1991,9.0,4,3.709079297755367,3.5217391304347836,0.9272698244388418,False
Western,1993,47.0,11,6.673617431301882,4.791757049891541,0.6066924937547166,True
Western,1994,106.0,16,9.069568354819449,6.1331877729257664,0.5668480221762155,True
Western,2002,3.0,2,1.8898815748423097,1.7999999999999998,0.9449407874211548,False
Western,2003,74.0,15,8.68729956095376,5.52016129032258,0.579153304063584,True
Western,2006,5.0,4,3.7892914162759954,3.571428571428571,0.9473228540689989,False
Western,2008,10.0,5,4.3527528164806215,3.846153846153846,0.8705505632961243,True
Western,2010,8.0,3,2.0867794400977164,1.6842105263157894,0.6955931466992388,False
Western,2013,38.0,11,6.230586063054476,4.323353293413174,0.5664169148231342,True
Western,2014,120.0,15,6.354015175728832,4.029099048684946,0.42360101171525544,True
