sector,taxon,mean_relative_abundance,median_annual_rank_when_present,occupancy,years,dataset
Eastern,Equus burchellii,0.23777965617549132,2.0,1.0,20,living
Eastern,Aepyceros melampus,0.2291468094711721,2.0,1.0,20,living
Eastern,Syncerus caffer,0.21392899895124842,2.0,1.0,20,living
Eastern,Eudorcas thomsonii,0.08655333456216922,4.0,1.0,20,living
Eastern,Nanger granti,0.07226468880400838,5.0,1.0,20,living
Eastern,Phacochoerus africanus,0.042682152979812246,6.0,0.95,20,living
Eastern,Kobus ellipsiprymnus,0.02901061195086039,7.0,1.0,20,living
Eastern,Giraffa camelopardalis,0.028666803038845425,9.0,0.9,20,living
Eastern,Loxodonta africana,0.0226194050699938,8.5,1.0,20,living
Eastern,Alcelaphus buselaphus,0.013053665439755483,10.0,0.95,20,living
Eastern,Taurotragus oryx,0.012269686225148346,9.0,0.95,20,living
Eastern,Diceros bicornis,0.008931279499347683,11.0,0.85,20,living
Eastern,Oryx beisa,0.002694133995896884,13.0,0.85,20,living
Eastern,Tragelaphus scriptus,0.000286614933891201,13.5,0.3,20,living
Eastern,Redunca redunca,0.00011215890235911287,14.0,0.15,20,living
Western,Equus burchellii,0.364552106113692,1.0,1.0,17,living
Western,Aepyceros melampus,0.21112690078943952,2.0,1.0,17,living
Western,Syncerus caffer,0.154685192380317,3.0,1.0,17,living
Western,Eudorcas thomsonii,0.09107263494488993,4.0,1.0,17,living
Western,Nanger granti,0.05853420862623906,5.0,1.0,17,living
Western,Loxodonta africana,0.034296132321458325,7.0,0.9411764705882353,17,living
Western,Taurotragus oryx,0.025186773227828717,7.0,1.0,17,living
Western,Giraffa camelopardalis,0.0214473573225406,8.0,1.0,17,living
Western,Phacochoerus africanus,0.01892512558673849,8.0,0.9411764705882353,17,living
Western,Alcelaphus buselaphus,0.009550391308688497,11.0,1.0,17,living
Western,Kobus ellipsiprymnus,0.007009449597375531,10.0,1.0,17,living
Western,Diceros bicornis,0.00351448735065495,12.0,0.8823529411764706,17,living
Western,Oryx beisa,5.0996340971575774e-05,13.0,0.29411764705882354,17,living
Western,Tragelaphus scriptus,2.770434521511481e-05,13.0,0.11764705882352941,17,living
Western,Redunca redunca,2.0539743950785037e-05,12.5,0.11764705882352941,17,living
Eastern,Equus burchellii,0.43403437473927137,1.0,0.9285714285714286,14,bones
Eastern,Phacochoerus africanus,0.1334102094480543,3.0,0.8571428571428571,14,bones
Eastern,Eudorcas thomsonii,0.10766916022224414,4.75,0.7142857142857143,14,bones
Eastern,Giraffa camelopardalis,0.1058680109806789,3.0,0.5,14,bones
Eastern,Syncerus caffer,0.05969175751784447,2.25,0.42857142857142855,14,bones
Eastern,Aepyceros melampus,0.0484123220523625,4.5,0.5714285714285714,14,bones
Eastern,Kobus ellipsiprymnus,0.031654865375795614,4.5,0.35714285714285715,14,bones
Eastern,Nanger granti,0.027433653303218525,5.0,0.35714285714285715,14,bones
Eastern,Alcelaphus buselaphus,0.024374699374699375,6.25,0.2857142857142857,14,bones
Eastern,Taurotragus oryx,0.013131536852467084,5.5,0.21428571428571427,14,bones
Eastern,Oryx beisa,0.006817256817256818,7.0,0.14285714285714285,14,bones
Eastern,Loxodonta africana,0.0033222591362126247,7.0,0.07142857142857142,14,bones
Eastern,Redunca redunca,0.002857142857142857,6.5,0.07142857142857142,14,bones
Eastern,Diceros bicornis,0.0013227513227513227,9.5,0.07142857142857142,14,bones
Eastern,Tragelaphus scriptus,0.0,,0.0,14,bones
Western,Equus burchellii,0.44950472260102714,1.0,0.8181818181818182,11,bones
Western,Phacochoerus africanus,0.14931466443224561,2.5,0.6363636363636364,11,bones
Western,Eudorcas thomsonii,0.1001200413994367,6.75,0.36363636363636365,11,bones
Western,Giraffa camelopardalis,0.05695815942176525,2.5,0.45454545454545453,11,bones
Western,Aepyceros melampus,0.04806307913810714,4.5,0.5454545454545454,11,bones
Western,Nanger granti,0.042288385373491756,4.0,0.36363636363636365,11,bones
Western,Alcelaphus buselaphus,0.03933582747972446,3.5,0.36363636363636365,11,bones
Western,Kobus ellipsiprymnus,0.03757489710737191,4.5,0.45454545454545453,11,bones
Western,Syncerus caffer,0.037112010796221326,2.75,0.36363636363636365,11,bones
Western,Taurotragus oryx,0.023401570434045237,5.5,0.45454545454545453,11,bones
Western,Oryx beisa,0.008012820512820512,4.75,0.18181818181818182,11,bones
Western,Loxodonta africana,0.006379585326953748,6.0,0.09090909090909091,11,bones
Western,Tragelaphus scriptus,0.0019342359767891683,9.0,0.09090909090909091,11,bones
Western,Diceros bicornis,0.0,,0.0,11,bones
Western,Redunca redunca,0.0,,0.0,11,bones
