Species,live_relative,bone_relative,absolute_difference,percent_of_bray_curtis,direction
Equus burchellii,0.3187307063737062,0.5,0.1812692936262938,37.38860618897556,higher in bones
Syncerus caffer,0.12120936989286363,0.017241379310344827,0.1039679905825188,21.44443870434468,higher in living
Aepyceros melampus,0.12642999818412928,0.06896551724137931,0.057464480942749974,11.852624373611611,higher in living
Nanger granti,0.05588342110041765,0.034482758620689655,0.021400662479727994,4.414100842072635,higher in living
Giraffa camelopardalis,0.05493008897766479,0.034482758620689655,0.020447330356975137,4.217466549568631,higher in living
Loxodonta africana,0.02001997457781006,0.0,0.02001997457781006,4.129320142584078,higher in living
Kobus ellipsiprymnus,0.06891229344470674,0.08620689655172414,0.0172946031070174,3.5671849976752594,higher in bones
Redunca redunca,0.0014980933357544943,0.017241379310344827,0.015743285974590335,3.2472103115152144,higher in bones
Oryx beisa,0.014935536589794806,0.0,0.014935536589794806,3.080603915896058,higher in living
Eudorcas thomsonii,0.07281641547121845,0.08620689655172414,0.013390481080505695,2.761920752182674,higher in bones
Phacochoerus africanus,0.1148992191755947,0.1206896551724138,0.005790435996819096,1.1943353825489489,higher in bones
Alcelaphus buselaphus,0.011621572544034864,0.017241379310344827,0.005619806766309963,1.1591413958774603,higher in bones
Diceros bicornis,0.00417650263301253,0.0,0.00417650263301253,0.861445471922302,higher in living
Taurotragus oryx,0.013936807699291811,0.017241379310344827,0.0033045716110530164,0.6816009712248797,higher in bones
