living_method,sector,living_year,bone_window,bone_years_used,living_count,living_taxa,bone_MNI,bone_taxa,bone_MNI_ge_10,pearson_p,bray_curtis,pearson,spearman,taxa_compared
aerial,Eastern,2002,0,2002,935.0,11,23.0,5,True,3.314502109584633e-05,0.37293652638921176,0.8638067422766813,0.3920427375627314,15
aerial,Eastern,2002,1,"2002, 2003",935.0,11,33.0,8,True,2.638200977941823e-06,0.3290552584670232,0.9093282134335762,0.4787325176348708,15
aerial,Eastern,2003,0,2003,979.0,10,10.0,5,True,0.0004244697594685053,0.4505617977528089,0.7926606669433727,0.3223963305302868,15
aerial,Eastern,2003,1,"2002, 2003",979.0,10,33.0,8,True,0.00031874058293580653,0.45182158665304734,0.8023655271614895,0.6142003892470349,15
aerial,Eastern,2005,1,2006,1359.0,13,13.0,6,True,3.6592688853370726e-05,0.35348389653025414,0.8615990700077498,0.6282183022013139,15
aerial,Eastern,2006,0,2006,1671.0,14,13.0,6,True,0.14357150468450613,0.5633660175850482,0.3963587349185774,0.47685640037444504,15
aerial,Eastern,2006,1,2006,1671.0,14,13.0,6,True,0.14357150468450613,0.5633660175850482,0.3963587349185774,0.47685640037444504,15
aerial,Eastern,2007,1,"2006, 2008",2133.0,13,24.0,6,True,0.0240382569513009,0.4807196436943273,0.5779345372077036,0.6520251658359413,15
aerial,Eastern,2008,0,2008,3965.0,14,11.0,3,True,0.4070110513826591,0.6756849707669381,0.23122500044428437,0.4731287592220794,15
aerial,Eastern,2008,1,2008,3965.0,14,11.0,3,True,0.4070110513826591,0.6756849707669381,0.23122500044428437,0.4731287592220794,15
aerial,Eastern,2009,1,"2008, 2010",3158.0,15,16.0,4,True,0.44374059917924535,0.6196960101329956,0.21401062595188045,0.4583492485141056,15
aerial,Eastern,2010,0,2010,2417.0,13,5.0,3,False,0.7728927484200746,0.7869259412494828,0.08145743653155484,0.24574461254389723,15
aerial,Eastern,2010,1,2010,2417.0,13,5.0,3,False,0.7728927484200746,0.7869259412494828,0.08145743653155484,0.24574461254389723,15
aerial,Eastern,2012,1,2013,2497.0,12,22.0,7,True,0.180676255929343,0.45374449339207057,0.3652446529348412,0.8738418887868162,15
aerial,Eastern,2013,0,2013,2669.0,14,22.0,7,True,0.029396843997300734,0.4171804216764876,0.5615071734677978,0.8449897487180518,15
aerial,Eastern,2013,1,"2013, 2014",2669.0,14,45.0,7,True,0.007945012421852572,0.34557262395404026,0.6557673109343098,0.8531234077624293,15
aerial,Eastern,2014,0,2014,3506.0,14,23.0,6,True,0.0001131133735290075,0.2987797316401697,0.8335456535813879,0.8561202858832676,15
aerial,Eastern,2014,1,"2013, 2014",3506.0,14,45.0,7,True,0.0002962002622186876,0.31327248526335794,0.8047695626047034,0.8977184949863745,15
aerial,Eastern,2015,1,2014,1961.0,13,23.0,6,True,0.008218221206393242,0.4063809502693834,0.653663699989498,0.6709576740921367,15
aerial,Western,2005,1,2006,5363.0,11,4.0,3,False,3.906908016403795e-06,0.29228044005220966,0.9034669303342514,0.7045307916362751,15
aerial,Western,2006,0,2006,4556.0,11,4.0,3,False,2.3121926142196677e-05,0.33713784021071114,0.8715313908854708,0.6684010074497995,15
aerial,Western,2006,1,2006,4556.0,11,4.0,3,False,2.3121926142196677e-05,0.33713784021071114,0.8715313908854708,0.6684010074497995,15
aerial,Western,2007,1,"2006, 2008",6051.0,12,8.0,5,False,1.465330145137943e-06,0.2788175508180466,0.9174249263314633,0.4992800572219648,15
aerial,Western,2008,0,2008,5944.0,11,4.0,3,False,0.016810656854071595,0.5570323014804845,0.6052534915087936,0.30710316558504297,15
aerial,Western,2008,1,2008,5944.0,11,4.0,3,False,0.016810656854071595,0.5570323014804845,0.6052534915087936,0.30710316558504297,15
aerial,Western,2009,1,"2008, 2010",6507.0,13,5.0,4,False,0.011956719810235302,0.47794682649454434,0.6292651246505164,0.2907334503924548,15
aerial,Western,2010,0,2010,6625.0,12,1.0,1,False,0.931588519283415,0.9216603773584907,0.024267759166345534,0.3104053643808082,15
aerial,Western,2010,1,2010,6625.0,12,1.0,1,False,0.931588519283415,0.9216603773584907,0.024267759166345534,0.3104053643808082,15
aerial,Western,2012,1,2013,9820.0,12,21.0,7,True,0.00015675885223369245,0.36382504121811654,0.8243413427284675,0.6549080990802383,15
aerial,Western,2013,0,2013,7711.0,14,21.0,7,True,0.00017501236694704385,0.3757279335025412,0.8211116987472887,0.7113545850151806,15
aerial,Western,2013,1,"2013, 2014",7711.0,14,60.0,8,True,0.0001919450250041206,0.3826114209138461,0.8183543271535051,0.6734505495684144,15
aerial,Western,2014,0,2014,6414.0,12,39.0,6,True,0.00011038937812738371,0.41137175889280675,0.8342120877108781,0.5266447265374886,15
