living_method,sector,living_year,bone_window,taxon,living_relative,bone_relative,difference
aerial,Eastern,2002,0,Aepyceros melampus,0.10481283422459893,0.043478260869565216,-0.061334573355033714
aerial,Eastern,2002,0,Alcelaphus buselaphus,0.009625668449197862,0.0,-0.009625668449197862
aerial,Eastern,2002,0,Diceros bicornis,0.0,0.0,0.0
aerial,Eastern,2002,0,Equus burchellii,0.5251336898395722,0.5652173913043478,0.04008370146477558
aerial,Eastern,2002,0,Eudorcas thomsonii,0.014973262032085561,0.21739130434782608,0.2024180423157405
aerial,Eastern,2002,0,Giraffa camelopardalis,0.08663101604278074,0.043478260869565216,-0.043152755173215526
aerial,Eastern,2002,0,Kobus ellipsiprymnus,0.038502673796791446,0.0,-0.038502673796791446
aerial,Eastern,2002,0,Loxodonta africana,0.03636363636363636,0.0,-0.03636363636363636
aerial,Eastern,2002,0,Nanger granti,0.0855614973262032,0.0,-0.0855614973262032
aerial,Eastern,2002,0,Oryx beisa,0.008556149732620321,0.0,-0.008556149732620321
aerial,Eastern,2002,0,Phacochoerus africanus,0.0,0.13043478260869565,0.13043478260869565
aerial,Eastern,2002,0,Redunca redunca,0.0,0.0,0.0
aerial,Eastern,2002,0,Syncerus caffer,0.07593582887700535,0.0,-0.07593582887700535
aerial,Eastern,2002,0,Taurotragus oryx,0.013903743315508022,0.0,-0.013903743315508022
aerial,Eastern,2002,0,Tragelaphus scriptus,0.0,0.0,0.0
aerial,Eastern,2003,0,Aepyceros melampus,0.20531154239019409,0.0,-0.20531154239019409
aerial,Eastern,2003,0,Alcelaphus buselaphus,0.0,0.1,0.1
aerial,Eastern,2003,0,Diceros bicornis,0.0,0.0,0.0
aerial,Eastern,2003,0,Equus burchellii,0.372829417773238,0.6,0.22717058222676195
aerial,Eastern,2003,0,Eudorcas thomsonii,0.05005107252298264,0.0,-0.05005107252298264
aerial,Eastern,2003,0,Giraffa camelopardalis,0.10214504596527069,0.0,-0.10214504596527069
aerial,Eastern,2003,0,Kobus ellipsiprymnus,0.03575076608784474,0.0,-0.03575076608784474
aerial,Eastern,2003,0,Loxodonta africana,0.030643513789581207,0.0,-0.030643513789581207
aerial,Eastern,2003,0,Nanger granti,0.07252298263534218,0.1,0.027477017364657824
aerial,Eastern,2003,0,Oryx beisa,0.0,0.0,0.0
aerial,Eastern,2003,0,Phacochoerus africanus,0.0040858018386108275,0.1,0.09591419816138917
aerial,Eastern,2003,0,Redunca redunca,0.0,0.0,0.0
aerial,Eastern,2003,0,Syncerus caffer,0.11338100102145046,0.1,-0.013381001021450456
aerial,Eastern,2003,0,Taurotragus oryx,0.013278855975485188,0.0,-0.013278855975485188
aerial,Eastern,2003,0,Tragelaphus scriptus,0.0,0.0,0.0
aerial,Eastern,2006,0,Aepyceros melampus,0.1843207660083782,0.15384615384615385,-0.030474612162224357
aerial,Eastern,2006,0,Alcelaphus buselaphus,0.005385996409335727,0.0,-0.005385996409335727
aerial,Eastern,2006,0,Diceros bicornis,0.006582884500299222,0.0,-0.006582884500299222
aerial,Eastern,2006,0,Equus burchellii,0.16098144823459007,0.5384615384615384,0.3774800902269484
aerial,Eastern,2006,0,Eudorcas thomsonii,0.01376421304608019,0.07692307692307693,0.06315886387699673
aerial,Eastern,2006,0,Giraffa camelopardalis,0.03052064631956912,0.0,-0.03052064631956912
aerial,Eastern,2006,0,Kobus ellipsiprymnus,0.06941950927588271,0.0,-0.06941950927588271
aerial,Eastern,2006,0,Loxodonta africana,0.01436265709156194,0.0,-0.01436265709156194
aerial,Eastern,2006,0,Nanger granti,0.10173548773189707,0.0,-0.10173548773189707
aerial,Eastern,2006,0,Oryx beisa,0.0011968880909634949,0.07692307692307693,0.07572618883211343
aerial,Eastern,2006,0,Phacochoerus africanus,0.029922202274087373,0.07692307692307693,0.047000874648989555
aerial,Eastern,2006,0,Redunca redunca,0.0,0.0,0.0
aerial,Eastern,2006,0,Syncerus caffer,0.37881508078994613,0.07692307692307693,-0.3018920038668692
aerial,Eastern,2006,0,Taurotragus oryx,0.0023937761819269898,0.0,-0.0023937761819269898
aerial,Eastern,2006,0,Tragelaphus scriptus,0.0005984440454817474,0.0,-0.0005984440454817474
aerial,Eastern,2008,0,Aepyceros melampus,0.17150063051702397,0.0,-0.17150063051702397
aerial,Eastern,2008,0,Alcelaphus buselaphus,0.005044136191677175,0.0,-0.005044136191677175
aerial,Eastern,2008,0,Diceros bicornis,0.005044136191677175,0.0,-0.005044136191677175
aerial,Eastern,2008,0,Equus burchellii,0.30668348045397226,0.18181818181818182,-0.12486529863579043
aerial,Eastern,2008,0,Eudorcas thomsonii,0.1064312736443884,0.36363636363636365,0.2572050899919752
aerial,Eastern,2008,0,Giraffa camelopardalis,0.023707440100882726,0.0,-0.023707440100882726
aerial,Eastern,2008,0,Kobus ellipsiprymnus,0.0244640605296343,0.0,-0.0244640605296343
aerial,Eastern,2008,0,Loxodonta africana,0.023707440100882726,0.0,-0.023707440100882726
aerial,Eastern,2008,0,Nanger granti,0.05372005044136192,0.0,-0.05372005044136192
aerial,Eastern,2008,0,Oryx beisa,0.003026481715006305,0.0,-0.003026481715006305
aerial,Eastern,2008,0,Phacochoerus africanus,0.036065573770491806,0.45454545454545453,0.41847988077496273
aerial,Eastern,2008,0,Redunca redunca,0.0,0.0,0.0
aerial,Eastern,2008,0,Syncerus caffer,0.2116015132408575,0.0,-0.2116015132408575
aerial,Eastern,2008,0,Taurotragus oryx,0.027994955863808322,0.0,-0.027994955863808322
aerial,Eastern,2008,0,Tragelaphus scriptus,0.001008827238335435,0.0,-0.001008827238335435
aerial,Eastern,2010,0,Aepyceros melampus,0.2238311956971452,0.0,-0.2238311956971452
aerial,Eastern,2010,0,Alcelaphus buselaphus,0.02772031443938767,0.2,0.17227968556061235
aerial,Eastern,2010,0,Diceros bicornis,0.011584609019445594,0.0,-0.011584609019445594
aerial,Eastern,2010,0,Equus burchellii,0.22176251551510137,0.0,-0.22176251551510137
aerial,Eastern,2010,0,Eudorcas thomsonii,0.11625982623086471,0.4,0.2837401737691353
aerial,Eastern,2010,0,Giraffa camelopardalis,0.0244104261481175,0.0,-0.0244104261481175
aerial,Eastern,2010,0,Kobus ellipsiprymnus,0.04054613156805958,0.0,-0.04054613156805958
