living_method,sector,living_year,bone_window_exact,bone_years_used_exact,living_count_exact,living_taxa_exact,bone_MNI_exact,bone_taxa_exact,bone_MNI_ge_10_exact,pearson_p_exact,bray_curtis_exact,pearson_exact,spearman_exact,taxa_compared_exact,bone_window_window,bone_years_used_window,living_count_window,living_taxa_window,bone_MNI_window,bone_taxa_window,bone_MNI_ge_10_window,pearson_p_window,bray_curtis_window,pearson_window,spearman_window,taxa_compared_window,BC_window_minus_exact,pearson_window_minus_exact
aerial,Eastern,2002,0,2002,935.0,11,23.0,5,True,3.314502109584633e-05,0.37293652638921176,0.8638067422766813,0.3920427375627314,15,1,"2002, 2003",935.0,11,33.0,8,True,2.638200977941823e-06,0.3290552584670232,0.9093282134335762,0.4787325176348708,15,-0.04388126792218855,0.045521471156894866
aerial,Eastern,2003,0,2003,979.0,10,10.0,5,True,0.0004244697594685053,0.4505617977528089,0.7926606669433727,0.3223963305302868,15,1,"2002, 2003",979.0,10,33.0,8,True,0.00031874058293580653,0.45182158665304734,0.8023655271614895,0.6142003892470349,15,0.0012597889002384233,0.009704860218116784
aerial,Eastern,2006,0,2006,1671.0,14,13.0,6,True,0.14357150468450613,0.5633660175850482,0.3963587349185774,0.47685640037444504,15,1,2006,1671.0,14,13.0,6,True,0.14357150468450613,0.5633660175850482,0.3963587349185774,0.47685640037444504,15,0.0,0.0
aerial,Eastern,2008,0,2008,3965.0,14,11.0,3,True,0.4070110513826591,0.6756849707669381,0.23122500044428437,0.4731287592220794,15,1,2008,3965.0,14,11.0,3,True,0.4070110513826591,0.6756849707669381,0.23122500044428437,0.4731287592220794,15,0.0,0.0
aerial,Eastern,2010,0,2010,2417.0,13,5.0,3,False,0.7728927484200746,0.7869259412494828,0.08145743653155484,0.24574461254389723,15,1,2010,2417.0,13,5.0,3,False,0.7728927484200746,0.7869259412494828,0.08145743653155484,0.24574461254389723,15,0.0,0.0
aerial,Eastern,2013,0,2013,2669.0,14,22.0,7,True,0.029396843997300734,0.4171804216764876,0.5615071734677978,0.8449897487180518,15,1,"2013, 2014",2669.0,14,45.0,7,True,0.007945012421852572,0.34557262395404026,0.6557673109343098,0.8531234077624293,15,-0.07160779772244735,0.09426013746651207
aerial,Eastern,2014,0,2014,3506.0,14,23.0,6,True,0.0001131133735290075,0.2987797316401697,0.8335456535813879,0.8561202858832676,15,1,"2013, 2014",3506.0,14,45.0,7,True,0.0002962002622186876,0.31327248526335794,0.8047695626047034,0.8977184949863745,15,0.014492753623188248,-0.028776090976684432
aerial,Western,2006,0,2006,4556.0,11,4.0,3,False,2.3121926142196677e-05,0.33713784021071114,0.8715313908854708,0.6684010074497995,15,1,2006,4556.0,11,4.0,3,False,2.3121926142196677e-05,0.33713784021071114,0.8715313908854708,0.6684010074497995,15,0.0,0.0
aerial,Western,2008,0,2008,5944.0,11,4.0,3,False,0.016810656854071595,0.5570323014804845,0.6052534915087936,0.30710316558504297,15,1,2008,5944.0,11,4.0,3,False,0.016810656854071595,0.5570323014804845,0.6052534915087936,0.30710316558504297,15,0.0,0.0
aerial,Western,2010,0,2010,6625.0,12,1.0,1,False,0.931588519283415,0.9216603773584907,0.024267759166345534,0.3104053643808082,15,1,2010,6625.0,12,1.0,1,False,0.931588519283415,0.9216603773584907,0.024267759166345534,0.3104053643808082,15,0.0,0.0
aerial,Western,2013,0,2013,7711.0,14,21.0,7,True,0.00017501236694704385,0.3757279335025412,0.8211116987472887,0.7113545850151806,15,1,"2013, 2014",7711.0,14,60.0,8,True,0.0001919450250041206,0.3826114209138461,0.8183543271535051,0.6734505495684144,15,0.0068834874113049005,-0.002757371593783642
aerial,Western,2014,0,2014,6414.0,12,39.0,6,True,0.00011038937812738371,0.41137175889280675,0.8342120877108781,0.5266447265374886,15,1,"2013, 2014",6414.0,12,60.0,8,True,7.017577187853171e-05,0.36312753352042415,0.8460901403183488,0.6853612299880332,15,-0.0482442253723826,0.011878052607470768
ground,Eastern,1998,0,1998,3610.0,14,25.0,8,True,1.0787811122676195e-05,0.27811634349030473,0.9012522919055924,0.6166152825062599,14,1,1998,3610.0,14,25.0,8,True,1.0787811122676195e-05,0.27811634349030473,0.9012522919055924,0.6166152825062599,14,0.0,0.0
ground,Eastern,2002,0,2002,811.0,13,23.0,5,True,0.0008984779695005693,0.3991315069961937,0.7842467788427404,0.7952117015774617,14,1,"2002, 2003",811.0,13,33.0,8,True,0.0022857882362064623,0.3823562380899004,0.743884836913881,0.8297887987611369,14,-0.016775268906293328,-0.040361941928859446
ground,Eastern,2003,0,2003,4344.0,12,10.0,5,True,9.980387648722264e-05,0.3623848987108655,0.8543885519235143,0.541494098795949,14,1,"2002, 2003",4344.0,12,33.0,8,True,0.000509829049950729,0.3920559182990121,0.8052857010977027,0.7321442769637341,14,0.029671019588146608,-0.04910285082581156
